y	x1	x2
4.0	3.74378	3.74914
3.0	3.41988	3.37961
3.0	3.83093	3.83105
3.0	2.93161	2.96702
4.0	3.65523	3.66399
1.0	2.73066	2.72826
4.0	4.29781	4.33409
5.0	4.07021	4.09332
4.0	4.30834	4.33463
3.0	3.52588	3.41716
4.0	3.54674	3.55868
4.0	3.36275	3.33208
3.0	3.68234	3.69413
4.0	4.08464	4.07718
2.0	2.97699	2.9696
4.0	3.72678	3.72279
3.0	3.68984	3.68661
5.0	3.60023	3.60699
3.0	3.39848	3.41218
3.0	3.62791	3.60916
5.0	3.70836	3.65329
4.0	4.11793	4.11573
3.0	3.31667	3.34514
5.0	3.84086	3.8549
4.0	4.03006	4.03356
3.0	3.00935	3.00015
4.0	4.07572	4.07067
4.0	3.96269	3.96159
4.0	3.28192	3.27812
3.0	3.98638	4.00735
4.0	3.79285	3.81647
4.0	4.08041	4.07368
3.0	3.67352	3.72493
4.0	3.80737	3.79869
4.0	4.07101	4.07299
3.0	3.62835	3.59573
4.0	3.90014	3.89064
4.0	4.1197	4.1479
4.0	4.27945	4.2905
1.0	2.14232	2.05869
4.0	4.06167	4.06677
4.0	4.08839	4.04267
4.0	3.33419	3.30045
2.0	2.92383	2.88329
4.0	3.81649	3.79945
3.0	3.79363	3.82414
4.0	4.03198	4.03262
4.0	4.01618	4.02567
4.0	4.43282	4.39161
3.0	3.83727	3.84657
4.0	4.21599	4.19761
4.0	4.10886	4.09326
4.0	3.60149	3.59147
4.0	3.66776	3.67218
3.0	3.75097	3.74679
4.0	3.22365	3.22633
5.0	3.32543	3.25592
5.0	3.55072	3.45355
4.0	3.90025	3.92487
4.0	4.20371	4.18327
4.0	4.18148	4.18902
4.0	3.7082	3.70415
5.0	4.19804	4.18741
3.0	3.14037	3.11739
4.0	4.06282	4.06857
2.0	3.5538	3.55305
4.0	3.6433	3.62847
4.0	3.99602	4.01076
4.0	3.78277	3.75151
3.0	3.40151	3.36125
3.0	3.83666	3.78778
3.0	3.40236	3.39087
4.0	3.97809	4.00112
3.0	3.32266	3.29456
3.0	2.33155	2.32331
4.0	4.20154	4.21077
4.0	3.6417	3.5988
4.0	4.07341	4.08784
4.0	4.25618	4.26061
3.0	3.44102	3.44595
4.0	4.15574	4.14155
4.0	3.97179	3.96752
4.0	3.22484	3.16329
3.0	3.25263	3.25003
4.0	3.9937	3.98576
3.0	3.75813	3.82348
4.0	4.21817	4.18332
3.0	2.64473	2.61534
4.0	3.56343	3.54352
5.0	4.51379	4.52905
2.0	3.13053	3.11736
2.0	2.78076	2.78687
3.0	3.46771	3.37764
5.0	4.16387	4.1663
2.0	3.0596	3.02163
5.0	3.95113	3.93397
4.0	3.53199	3.57632
3.0	3.31759	3.32886
3.0	3.85842	3.85023
3.0	4.06428	4.06455
4.0	3.97203	3.95576
3.0	3.27483	3.27775
4.0	3.81347	3.80432
4.0	3.845	3.87153
5.0	3.8304	3.82204
3.0	3.2142	3.22306
4.0	4.05665	4.0566
4.0	3.75321	3.75686
4.0	4.17025	4.20072
4.0	3.86517	3.87887
5.0	4.30144	4.34674
3.0	3.13027	3.11684
4.0	3.27603	3.30705
3.0	2.78515	2.78979
5.0	3.97432	3.95299
3.0	3.28314	3.22647
3.0	3.1032	3.08389
4.0	3.40689	3.43118
4.0	4.09841	4.07654
4.0	4.08588	4.11485
3.0	3.17748	3.22208
3.0	3.65383	3.66414
4.0	3.91925	3.92747
5.0	3.73365	3.76173
4.0	3.89025	3.83791
3.0	3.21054	3.19824
4.0	3.5087	3.57785
4.0	4.26291	4.2814
4.0	3.7774	3.76504
3.0	2.83609	2.83274
4.0	3.78066	3.78561
4.0	3.82142	3.8048
3.0	3.11028	3.13669
4.0	3.48887	3.4794
4.0	3.34742	3.36494
4.0	3.96464	3.95773
4.0	3.79505	3.79335
2.0	4.41016	4.41899
3.0	3.19465	3.22504
3.0	2.99817	3.01194
5.0	4.11517	4.11321
4.0	4.21756	4.20848
4.0	3.80132	3.81106
3.0	4.21206	4.18992
3.0	3.43987	3.4626
1.0	3.17957	3.15071
2.0	3.77579	3.7788
3.0	2.99694	2.9834
4.0	4.17684	4.16717
2.0	2.93298	2.90845
4.0	3.7572	3.7429
3.0	3.50876	3.52415
3.0	3.90383	3.92692
3.0	3.69228	3.70571
3.0	3.57882	3.58595
3.0	3.22698	3.21051
4.0	3.56861	3.55133
3.0	3.63464	3.60077
3.0	4.02193	4.02411
3.0	2.81631	2.75811
4.0	4.31715	4.30582
4.0	3.75328	3.7469
3.0	3.75353	3.77416
4.0	3.93769	3.91257
4.0	4.10468	4.10561
4.0	3.53174	3.46668
4.0	3.99385	3.99944
3.0	3.62343	3.59674
4.0	3.34976	3.31303
4.0	4.11591	4.10568
4.0	4.21426	4.19031
4.0	3.83463	3.8172
4.0	4.07472	4.06413
3.0	3.95245	3.95191
4.0	4.09596	4.10474
4.0	3.46991	3.49095
4.0	3.06456	3.0523
4.0	3.94563	3.93166
5.0	3.96736	3.96717
5.0	3.69083	3.67944
3.0	3.99252	3.97864
5.0	4.22618	4.24364
3.0	3.12439	3.10077
5.0	3.98868	3.99672
4.0	4.22434	4.19712
5.0	4.47545	4.46297
3.0	3.30011	3.29479
4.0	4.1653	4.12563
5.0	4.33784	4.31962
4.0	4.04834	4.05828
3.0	3.29651	3.31805
3.0	3.56411	3.53079
4.0	3.9933	3.98612
4.0	3.45542	3.47046
3.0	2.82139	2.81252
3.0	3.91072	3.8988
2.0	2.84102	2.83555
3.0	3.01207	3.01015
4.0	4.09319	4.10208
1.0	2.80205	2.80351
3.0	3.17415	3.1551
4.0	4.44077	4.41734
4.0	4.0969	4.10892
4.0	3.89497	3.89154
3.0	2.81363	2.79445
4.0	4.26298	4.29104
4.0	4.03657	4.0106
3.0	3.3398	3.32056
5.0	3.90537	3.93477
4.0	4.57496	4.56912
4.0	3.86035	3.84843
3.0	3.22167	3.20272
4.0	3.33691	3.31224
3.0	3.297	3.31215
4.0	4.12037	4.10217
3.0	3.46476	3.45558
4.0	3.97755	3.97214
4.0	3.96806	3.96996
4.0	3.68437	3.69778
4.0	3.69786	3.72169
5.0	3.84501	3.90547
4.0	4.46013	4.47867
4.0	4.16431	4.17361
4.0	3.69264	3.7057
5.0	3.44757	3.54412
4.0	3.7404	3.71401
5.0	4.25663	4.21258
5.0	3.78711	3.8066
4.0	4.14605	4.15462
4.0	4.1897	4.18952
4.0	4.60478	4.57722
3.0	2.92852	2.90663
3.0	3.19508	3.19018
2.0	3.3747	3.36427
3.0	3.26502	3.26566
3.0	3.94791	3.94043
4.0	4.54342	4.55789
4.0	3.7942	3.80878
3.0	3.28659	3.25998
2.0	2.53525	2.55752
5.0	3.82548	3.80515
2.0	2.73678	2.75024
5.0	4.16414	4.15549
4.0	4.12616	4.14264
4.0	3.79804	3.79607
5.0	3.89801	3.89174
3.0	3.10082	3.11725
3.0	3.13533	3.1499
4.0	4.26316	4.248
4.0	3.86184	3.86493
4.0	3.64032	3.68237
5.0	4.22895	4.29777
4.0	3.85023	3.84617
3.0	3.89306	3.89652
3.0	3.32199	3.33558
4.0	4.19132	4.20976
3.0	3.60276	3.60028
3.0	3.53444	3.54282
4.0	4.60542	4.6044
3.0	3.23612	3.21034
2.0	2.98045	2.95937
3.0	3.11087	3.10586
4.0	3.75204	3.73648
2.0	3.84569	3.8398
3.0	3.64767	3.62187
4.0	3.8145	3.82728
4.0	4.00801	4.02214
5.0	3.81656	3.81369
4.0	4.19441	4.18511
1.0	3.81246	3.78255
3.0	3.70989	3.68632
3.0	3.49123	3.50266
3.0	3.85001	3.84572
4.0	3.36259	3.37232
3.0	3.04703	3.0572
4.0	2.92958	2.94077
4.0	3.9609	3.9685
4.0	3.98056	3.97681
4.0	3.64987	3.67725
3.0	3.52012	3.49792
3.0	3.36522	3.36556
2.0	2.79816	2.82436
4.0	3.90634	3.85295
5.0	4.36516	4.37119
3.0	3.55378	3.54295
4.0	4.18091	4.17614
3.0	3.99789	4.01984
4.0	4.05558	4.06053
4.0	3.28033	3.27504
4.0	4.00235	3.97853
3.0	3.62538	3.62586
2.0	2.6716	2.67258
5.0	4.01548	4.01759
3.0	3.04788	3.01546
4.0	4.13661	4.16028
3.0	4.0146	4.0043
2.0	3.07949	3.05327
3.0	3.39794	3.44281
4.0	3.97788	3.99052
4.0	3.76785	3.74985
4.0	3.80332	3.78182
4.0	3.90605	3.90294
4.0	4.18098	4.18742
4.0	3.51942	3.54914
2.0	2.38654	2.42302
5.0	4.02303	3.95187
4.0	3.97136	3.96628
4.0	3.70045	3.65382
3.0	4.15638	4.1097
4.0	3.79457	3.78086
3.0	3.72524	3.74259
4.0	4.0064	4.01789
4.0	3.447	3.44282
4.0	3.97678	3.97407
5.0	4.1158	4.11921
5.0	3.62805	3.61963
4.0	4.05641	4.03928
3.0	3.21637	3.21646
5.0	4.10202	4.11055
3.0	3.9161	3.89964
3.0	3.41568	3.4141
3.0	3.58157	3.56686
3.0	3.42858	3.42257
4.0	3.77726	3.77464
3.0	3.70938	3.73704
5.0	4.46551	4.45979
3.0	2.663	2.67831
5.0	3.79838	3.80199
4.0	3.67147	3.62287
5.0	3.22227	3.19132
5.0	4.31979	4.33176
3.0	4.17255	4.17316
3.0	2.87098	2.88344
5.0	3.70352	3.66106
3.0	3.60388	3.6436
2.0	2.47811	2.4834
3.0	3.94414	3.97249
3.0	3.24354	3.26476
4.0	3.62116	3.58148
4.0	4.07362	4.06309
3.0	3.56223	3.6024
4.0	4.73296	4.70416
4.0	3.45773	3.45047
3.0	4.06992	4.05812
4.0	4.26735	4.23721
4.0	3.62634	3.62442
3.0	3.28531	3.2802
4.0	3.97095	3.96745
5.0	3.26895	3.2765
5.0	3.71382	3.729
4.0	3.76951	3.73867
5.0	3.94556	3.9495
3.0	3.38335	3.33987
4.0	4.24663	4.24903
3.0	3.71495	3.70181
4.0	3.64457	3.66621
4.0	3.79796	3.78369
3.0	3.13727	3.14937
5.0	3.2256	3.22389
3.0	3.35603	3.35705
5.0	3.80136	3.80676
5.0	4.0944	4.09275
4.0	3.61127	3.6379
2.0	2.54399	2.56141
4.0	3.91319	3.94981
4.0	3.74806	3.75837
3.0	3.429	3.43947
4.0	3.78384	3.8695
4.0	4.11226	4.09444
3.0	3.77811	3.80262
5.0	4.12672	4.12893
3.0	4.00291	4.03849
5.0	4.16485	4.18245
4.0	3.70211	3.7562
3.0	3.74955	3.73979
4.0	3.59812	3.59786
3.0	3.82107	3.77464
5.0	4.60705	4.60998
4.0	3.56363	3.56239
3.0	3.5583	3.54768
2.0	3.20547	3.20423
4.0	3.85793	3.85449
5.0	4.27267	4.23261
4.0	3.86716	3.8549
5.0	3.90707	4.00136
3.0	3.7073	3.69973
3.0	3.59162	3.60257
4.0	3.25331	3.27265
4.0	3.912	3.88952
3.0	3.27975	3.26514
3.0	3.20027	3.192
2.0	2.90618	2.90511
3.0	3.70865	3.70522
4.0	3.85698	3.83689
4.0	3.24763	3.2216
4.0	3.54281	3.53283
3.0	3.36919	3.40393
5.0	4.40283	4.37088
2.0	2.91991	2.93216
4.0	4.0032	4.01056
4.0	3.57397	3.59017
4.0	3.35797	3.38087
4.0	3.80338	3.92599
3.0	3.25501	3.24105
4.0	4.14275	4.09073
2.0	3.46272	3.5098
4.0	3.90241	3.9073
3.0	3.65685	3.65436
4.0	3.73341	3.75103
2.0	2.54374	2.53846
4.0	3.90741	3.92057
4.0	3.49937	3.49464
4.0	3.60631	3.61172
3.0	3.86171	3.85983
4.0	3.72509	3.73304
5.0	4.02649	4.05162
4.0	4.25128	4.24539
4.0	3.94897	3.93433
3.0	3.12243	3.10947
3.0	3.63207	3.62269
3.0	2.81401	2.8093
5.0	4.4351	4.42657
3.0	3.25025	3.24627
4.0	3.84037	3.84132
4.0	3.59214	3.59682
4.0	3.42793	3.45632
2.0	3.05998	3.04967
3.0	2.84389	2.81774
4.0	4.67811	4.67557
5.0	4.07387	4.08629
4.0	3.98219	3.98831
2.0	3.54052	3.53587
5.0	4.35008	4.31689
3.0	4.05951	4.09695
4.0	2.81076	2.77421
3.0	2.7267	2.78495
3.0	3.49477	3.54999
5.0	3.46176	3.45211
4.0	4.08032	4.11317
4.0	3.54592	3.54533
3.0	3.50491	3.51142
3.0	3.25252	3.24818
4.0	3.70607	3.68954
5.0	4.27861	4.25609
3.0	3.54056	3.5459
5.0	4.25707	4.24701
5.0	4.23221	4.25017
4.0	3.40528	3.41732
4.0	4.01688	3.97193
3.0	3.76875	3.76112
3.0	3.27351	3.26091
3.0	2.7814	2.75688
3.0	4.3169	4.31763
3.0	3.80824	3.82547
3.0	3.2809	3.2727
5.0	3.95065	3.97153
5.0	4.01138	4.00029
3.0	3.71683	3.69798
5.0	4.70151	4.71244
3.0	3.96087	3.91908
4.0	4.04314	4.04972
4.0	3.75488	3.78566
3.0	3.38023	3.37911
3.0	3.69533	3.67785
4.0	4.13755	4.16445
4.0	4.205	4.17992
4.0	3.3605	3.42791
5.0	4.17145	4.18649
2.0	3.46125	3.46306
4.0	2.81055	2.7977
1.0	3.5438	3.55445
3.0	3.11007	3.10341
5.0	3.81739	3.78758
3.0	3.62222	3.6175
4.0	3.86428	3.88166
5.0	4.08436	4.09881
1.0	2.69701	2.70503
3.0	3.28644	3.31664
5.0	3.44482	3.45674
4.0	3.97746	3.96373
4.0	3.92205	3.94775
3.0	3.04856	3.09717
3.0	4.18927	4.16643
3.0	3.03357	3.0239
2.0	2.8584	2.86182
4.0	3.87665	3.86548
3.0	3.34208	3.23874
5.0	4.10043	4.07062
3.0	3.5242	3.56622
1.0	2.61076	2.63919
4.0	3.60854	3.60062
5.0	4.11471	4.1243
4.0	4.57618	4.57965
4.0	3.66265	3.64504
3.0	2.76668	2.76185
3.0	4.07492	4.12336
4.0	3.7437	3.71882
4.0	3.74919	3.73804
5.0	4.59167	4.56044
4.0	3.75967	3.67449
3.0	2.82467	2.80288
4.0	4.33021	4.33466
4.0	4.03451	4.04351
4.0	4.01971	4.02593
3.0	3.11888	3.116
3.0	3.10032	3.13267
3.0	3.7324	3.71479
4.0	3.53633	3.54797
4.0	3.70727	3.72533
3.0	3.28357	3.28485
5.0	3.93106	3.90391
4.0	4.13788	4.16662
3.0	3.15266	3.12638
4.0	3.88494	3.8635
5.0	4.2803	4.30318
4.0	3.96623	3.94008
4.0	4.03109	4.04968
4.0	3.45094	3.42335
3.0	3.54571	3.56056
5.0	4.07137	4.08602
4.0	4.27339	4.27923
4.0	4.23686	4.23444
4.0	3.73896	3.71006
5.0	3.94318	3.9798
4.0	3.93265	3.90162
1.0	3.28615	3.30441
4.0	4.26126	4.26437
3.0	3.39815	3.41287
3.0	2.68075	2.69593
4.0	4.2246	4.21743
3.0	2.92265	2.92927
3.0	2.99127	3.01199
3.0	2.6117	2.60374
3.0	3.10559	3.11132
5.0	3.74326	3.73127
4.0	3.07093	3.08486
3.0	2.86132	2.87272
3.0	3.4184	3.40188
4.0	3.5491	3.50201
3.0	3.2463	3.24037
4.0	4.21385	4.19982
3.0	2.94907	2.95265
3.0	3.28247	3.2759
4.0	4.20743	4.20504
3.0	3.13906	3.1357
3.0	3.74674	3.73706
4.0	3.60397	3.57627
4.0	3.17311	3.18502
5.0	4.13358	4.12144
4.0	4.00975	4.00351
3.0	3.246	3.26092
4.0	3.75978	3.7444
3.0	2.66946	2.66136
4.0	3.4783	3.50466
3.0	2.6864	2.67049
4.0	3.88932	3.87763
4.0	3.86909	3.85071
4.0	4.01995	4.04419
5.0	4.89524	4.87768
1.0	3.90933	3.89117
5.0	4.0988	4.09133
3.0	3.13401	3.09327
4.0	3.18121	3.1757
4.0	4.31638	4.31251
4.0	3.45714	3.4548
3.0	3.53364	3.52935
4.0	3.1085	3.06936
3.0	2.78289	2.76156
1.0	2.1882	2.18321
4.0	3.86085	3.83633
3.0	3.81266	3.82406
3.0	3.53783	3.53893
3.0	3.99327	3.96567
1.0	2.57637	2.58692
3.0	3.74091	3.75541
4.0	4.15551	4.1552
4.0	3.99763	3.99799
1.0	3.07941	3.07225
4.0	3.79662	3.80484
4.0	3.80631	3.80055
4.0	3.9958	4.02644
2.0	3.31195	3.32025
4.0	4.00556	3.99909
3.0	3.44696	3.46463
3.0	3.65667	3.67829
2.0	3.15955	3.17734
3.0	2.88027	2.87402
2.0	2.24739	2.2733
4.0	3.92814	3.91401
3.0	3.63739	3.67643
4.0	3.61308	3.61997
4.0	4.28876	4.27153
3.0	3.6685	3.65941
4.0	3.92023	3.95337
4.0	2.30138	2.29376
4.0	3.81263	3.83709
4.0	3.97382	3.97317
3.0	3.4164	3.44362
3.0	3.18565	3.1746
4.0	4.1379	4.1279
5.0	3.82783	3.8406
3.0	4.0771	3.99335
4.0	3.85665	3.89093
4.0	3.27641	3.32536
4.0	3.94319	3.95329
4.0	3.66292	3.64707
3.0	3.43931	3.45258
2.0	4.16086	4.12344
4.0	3.92178	3.90534
2.0	3.73874	3.74658
4.0	3.79937	3.77716
5.0	2.93155	2.9366
1.0	3.26896	3.28261
3.0	3.69991	3.72034
4.0	3.95267	3.95506
4.0	3.54506	3.52245
4.0	4.05079	3.99293
4.0	4.3126	4.29944
5.0	3.99781	3.99484
2.0	2.99484	3.00928
4.0	3.6001	3.6072
4.0	4.14719	4.15754
4.0	3.54562	3.54485
4.0	3.42973	3.41353
3.0	3.7571	3.74308
4.0	3.79993	3.81189
5.0	4.10216	4.10185
4.0	3.56557	3.5721
3.0	4.36346	4.37085
4.0	3.8642	3.85488
2.0	3.35336	3.3477
3.0	2.917	2.92994
4.0	3.19949	3.19591
5.0	4.03906	4.05129
3.0	3.6171	3.63628
3.0	4.00293	4.01388
3.0	3.88641	3.8458
3.0	3.47976	3.41821
5.0	4.23793	4.21127
3.0	2.84909	2.86846
4.0	4.0755	4.08824
5.0	4.38485	4.4083
3.0	3.29678	3.32622
3.0	2.70884	2.75844
3.0	4.1979	4.14733
4.0	3.65696	3.67572
4.0	4.31928	4.28846
4.0	3.61591	3.61118
4.0	3.95885	3.96775
5.0	4.3667	4.33936
4.0	4.03609	4.0456
4.0	3.6788	3.66056
4.0	3.94611	3.96893
4.0	3.50596	3.4738
4.0	3.75437	3.77395
4.0	3.45729	3.45928
4.0	3.50886	3.53103
4.0	3.86252	3.89362
4.0	4.29544	4.27939
4.0	3.94395	3.93746
4.0	4.18342	4.18328
5.0	4.58537	4.62523
4.0	4.08889	4.08252
5.0	3.53274	3.5605
3.0	3.19337	3.19599
4.0	3.57266	3.52848
4.0	3.46535	3.49226
4.0	3.89211	3.91676
4.0	4.18609	4.19426
5.0	4.54675	4.5636
4.0	4.0223	4.01277
4.0	3.93004	3.90319
4.0	2.28148	2.34638
3.0	3.83827	3.81374
4.0	3.60281	3.59802
4.0	4.23666	4.23384
2.0	2.59298	2.5881
3.0	3.48535	3.47254
4.0	3.44123	3.45156
4.0	3.77318	3.76439
3.0	3.27064	3.27157
3.0	4.05192	4.02541
5.0	3.65851	3.63996
4.0	3.63416	3.6378
4.0	4.11165	4.11313
4.0	4.25338	4.26661
4.0	3.83318	3.86099
4.0	3.68604	3.67598
4.0	3.4788	3.43795
5.0	4.1706	4.16364
4.0	3.47913	3.51379
5.0	3.71549	3.70169
4.0	3.94485	3.92939
4.0	4.03598	4.02608
4.0	3.42232	3.42039
3.0	3.29955	3.32147
4.0	4.03813	4.08444
4.0	4.02006	4.01401
4.0	3.92745	3.94314
3.0	3.50021	3.56056
3.0	3.29265	3.28235
4.0	2.90259	2.89821
2.0	2.89853	2.87393
2.0	4.2362	4.22791
2.0	2.16689	2.11363
4.0	3.89774	3.92452
4.0	3.65189	3.63364
4.0	4.07002	4.06606
3.0	3.03083	3.00068
4.0	3.19317	3.18888
4.0	3.96271	3.93174
3.0	3.46144	3.43672
5.0	4.11928	4.12142
4.0	3.79919	3.83674
3.0	3.35424	3.32248
4.0	3.67073	3.67152
3.0	3.4185	3.44126
4.0	3.46466	3.49113
5.0	4.19372	4.17602
3.0	3.33419	3.33869
4.0	3.48585	3.50795
5.0	4.38841	4.39633
5.0	4.08318	4.11477
5.0	3.96699	3.99791
4.0	3.86057	3.83006
3.0	3.81616	3.86335
4.0	3.38626	3.39091
5.0	4.11588	4.15628
5.0	4.2379	4.24196
4.0	3.94652	3.9681
5.0	4.22082	4.23053
4.0	3.92386	3.92493
5.0	3.97317	3.98153
1.0	3.35976	3.38029
3.0	3.62855	3.62976
4.0	3.71909	3.7279
4.0	4.20117	4.17833
4.0	4.06502	4.04313
4.0	3.88387	3.86672
5.0	3.4759	3.48721
2.0	3.0334	3.00664
3.0	3.48687	3.43099
5.0	3.62573	3.63518
5.0	4.18146	4.18907
4.0	3.17289	3.14348
4.0	4.27807	4.26461
4.0	4.08491	4.11768
1.0	2.59123	2.5978
2.0	2.91771	2.90377
4.0	3.15853	3.17448
4.0	3.73917	3.75326
4.0	3.8364	3.77701
3.0	2.63148	2.6335
4.0	4.04896	4.05433
5.0	3.44529	3.48421
4.0	3.48014	3.46249
3.0	3.86223	3.85994
5.0	3.70729	3.67644
3.0	3.41453	3.40718
4.0	4.02462	4.03012
2.0	3.37346	3.38768
4.0	3.37827	3.38237
4.0	3.91067	3.91048
2.0	3.10408	3.11741
3.0	3.55051	3.52375
4.0	3.86473	3.82543
5.0	4.24579	4.26021
4.0	3.72494	3.6805
5.0	3.49608	3.47961
4.0	4.01965	4.01203
5.0	2.85888	2.83323
4.0	3.56842	3.57043
3.0	3.13232	3.13496
4.0	3.75464	3.73004
4.0	3.94837	3.95243
4.0	3.7672	3.7665
4.0	3.83196	3.89441
5.0	4.06008	4.09183
4.0	4.39034	4.42242
2.0	3.04965	3.06308
4.0	3.84256	3.79824
2.0	3.06534	3.13079
4.0	3.32422	3.34076
4.0	4.34585	4.33917
4.0	3.91636	3.92052
4.0	3.77347	3.73813
4.0	4.14024	4.13335
4.0	4.56591	4.52614
5.0	3.46115	3.39648
5.0	3.95776	3.97433
1.0	3.23308	3.25809
4.0	4.0336	4.015
4.0	4.16458	4.20999
4.0	3.67502	3.68628
3.0	3.10619	3.12528
3.0	3.28939	3.28354
4.0	3.80811	3.81797
4.0	3.55125	3.53916
3.0	3.08935	3.0541
3.0	3.64547	3.63249
3.0	2.52413	2.50514
1.0	1.99471	2.00302
4.0	4.05069	4.03246
4.0	3.5516	3.57857
4.0	4.31035	4.28161
2.0	3.08529	3.06777
5.0	4.17819	4.16534
4.0	3.98282	3.95807
3.0	3.84894	3.88107
3.0	3.6174	3.60891
4.0	4.34159	4.3378
3.0	3.53935	3.55081
4.0	3.27146	3.28645
5.0	3.81486	3.80831
4.0	3.76059	3.73078
2.0	2.83681	2.80537
4.0	3.60824	3.59845
3.0	3.52824	3.53244
4.0	4.02558	4.03125
4.0	3.64028	3.634
3.0	2.98885	2.99697
3.0	3.68023	3.6752
2.0	3.02313	3.03452
5.0	3.71984	3.72726
3.0	3.41106	3.39916
4.0	3.79661	3.77295
3.0	3.27509	3.26542
3.0	3.80932	3.82516
4.0	3.89472	3.88781
4.0	4.76796	4.79751
4.0	3.88633	3.89381
5.0	3.7617	3.81591
4.0	4.09271	4.10627
4.0	3.73452	3.73208
5.0	4.51806	4.55913
3.0	3.41026	3.39767
4.0	3.65408	3.69222
4.0	3.63147	3.58451
4.0	3.71099	3.72802
4.0	3.80001	3.80209
4.0	3.63001	3.61858
3.0	3.7217	3.7014
4.0	4.24569	4.27231
4.0	4.1605	4.15485
5.0	4.07472	4.07351
3.0	3.46945	3.4833
3.0	3.14332	3.1054
3.0	3.02926	3.04131
4.0	3.58145	3.56704
